iter	Logloss
0	0.6890023904
1	0.6842640867
2	0.6796629776
3	0.6749384309
4	0.6705779773
5	0.665587441
6	0.6614218986
7	0.6567972419
8	0.6532091029
9	0.649728344
10	0.6455660929
11	0.6413384257
12	0.6380925183
13	0.6340892957
14	0.6298475938
15	0.6261158583
16	0.622290796
17	0.6182295743
18	0.6144551383
19	0.6110890412
20	0.6080178214
21	0.6045877342
22	0.6012407313
23	0.59789025
24	0.5944394798
25	0.5911834039
26	0.588241718
27	0.5849771905
28	0.5820275764
29	0.5791126367
30	0.5767096349
31	0.5738593987
32	0.5710410629
33	0.5681950981
34	0.5652080657
35	0.5619817528
36	0.5595135982
37	0.5572839991
38	0.5545796873
39	0.5520351413
40	0.5496667623
41	0.5470067593
42	0.54446868
43	0.5420602523
44	0.5396824667
45	0.5372240203
46	0.5349397523
47	0.5324649664
48	0.5301167281
49	0.5279630577
50	0.5257185284
51	0.5235621423
52	0.5213262831
53	0.519198232
54	0.5170191255
55	0.5149526287
56	0.5129092302
57	0.5110970542
58	0.5092019412
59	0.5073504293
60	0.5054773455
61	0.5036115294
62	0.5020710062
63	0.5005390807
64	0.4988136865
65	0.4974005314
66	0.4956183676
67	0.4939280483
68	0.4921382796
69	0.4904817502
70	0.4891110525
71	0.4872507725
72	0.4856024887
73	0.4838895649
74	0.4821390187
75	0.4807992511
76	0.4791156214
77	0.4776081409
78	0.4760313846
79	0.4742671307
80	0.4728273709
81	0.4713960904
82	0.4700857719
83	0.4687055252
84	0.4671230008
85	0.4658757051
86	0.4643772665
87	0.4629531083
88	0.4616301837
89	0.4603692279
90	0.4590872535
91	0.457510161
92	0.4560923593
93	0.454748834
94	0.4534942423
95	0.4520853928
96	0.4508670019
97	0.4496557506
98	0.4483311428
99	0.4471286525
100	0.446015054
101	0.445033041
102	0.4438268628
103	0.4428852836
104	0.4420736692
105	0.440892917
106	0.4398915101
107	0.4388719406
108	0.4377623931
109	0.4366004176
110	0.4356240428
111	0.4348119177
112	0.4335572924
113	0.4323517139
114	0.4314968284
115	0.4303149813
116	0.4294328112
117	0.428305502
118	0.4275432615
119	0.426505758
120	0.4257427621
121	0.4248239292
122	0.4239359033
123	0.4227863959
124	0.4218896557
125	0.4209667484
126	0.4199978865
127	0.4191448645
128	0.4182907406
129	0.4174370089
130	0.4166401475
131	0.4159839419
132	0.4154220038
133	0.4146610308
134	0.4140580771
135	0.4132082683
136	0.4122550275
137	0.4115083497
138	0.4106755396
139	0.4099240435
140	0.4091333505
141	0.4082556878
142	0.4073811477
143	0.4066609403
144	0.4057702527
145	0.4049444187
146	0.4043637436
147	0.4035703873
148	0.4025889634
149	0.4019537356
