,RMSE,MAE,R²
Regressão Linear,0.019851388495848273,0.012760046517403444,0.9997889057665725
Random Forest,0.004141500902835946,0.0015022344184755108,0.999990812230039
XGBoost,0.013501044717087374,0.005334118646327391,0.999902359646369
Redes Neurais Simples,0.007682991547884686,0.005174958898994725,0.9999683804777975
LSTM,0.024151974651303473,0.01665776180387661,0.9996875360772816
