iter	Logloss
0	0.6859711642
1	0.6736818852
2	0.6711516942
3	0.6657176041
4	0.6626767935
5	0.6610088972
6	0.6592484111
7	0.6576305968
8	0.6551410976
9	0.6514794969
10	0.6499649979
11	0.6483027162
12	0.6464915077
13	0.645561556
14	0.6436888257
15	0.6417095379
16	0.6404599668
17	0.6387825172
18	0.6368413905
19	0.6354001363
20	0.6346356493
21	0.6329610844
22	0.6316346745
23	0.6304898585
24	0.6290896248
25	0.6272535237
26	0.6258076152
27	0.6242998342
28	0.6214733107
29	0.6200872689
30	0.6186325403
31	0.6164617466
32	0.615208083
33	0.6134254386
34	0.61216102
35	0.6102512632
36	0.6093521769
37	0.6082804638
38	0.6068843216
39	0.6056749835
40	0.6042578865
41	0.603752938
42	0.6028710025
43	0.6017732136
44	0.6008123055
45	0.5990345491
46	0.5970014461
47	0.5960749487
48	0.5946179178
49	0.5923976149
50	0.5900744624
51	0.5888563755
52	0.5870026236
53	0.5861795762
54	0.5850132946
55	0.5833931007
56	0.5816168181
57	0.5804897526
58	0.5787452143
59	0.576579899
60	0.5748921023
61	0.5730281298
62	0.5714831582
63	0.5698229061
64	0.5687752702
65	0.5668365338
66	0.5646113093
67	0.5632496745
68	0.5617355478
69	0.5600600917
70	0.5574052274
71	0.5554205995
72	0.5541222691
73	0.5527056929
74	0.5503887435
75	0.5491338569
76	0.547543386
77	0.5447711262
78	0.5429903674
79	0.5412000411
80	0.5386475181
81	0.5376812549
82	0.5358708283
83	0.5347634788
84	0.5334944259
85	0.5317736095
86	0.5308174461
87	0.529562261
88	0.5274496588
89	0.5262235695
90	0.5249358063
91	0.523696394
92	0.5220652943
93	0.5205444395
94	0.5197091018
95	0.5188977226
96	0.5169724843
97	0.5153991292
98	0.5135489346
99	0.5119994192
100	0.5112330696
101	0.5098032363
102	0.5085351834
103	0.5078055009
104	0.5068646589
105	0.5057036742
106	0.5046583172
107	0.5035655572
108	0.5023361028
109	0.5018516344
110	0.5006797503
111	0.4997030308
112	0.4987650838
113	0.4978708876
114	0.4969139355
115	0.4958697055
116	0.4947881046
117	0.4936581698
118	0.4921717706
119	0.4912089767
120	0.4901335184
121	0.4893433591
122	0.488559036
123	0.4878841304
124	0.4875278797
125	0.4867098307
126	0.4857972842
127	0.4849910571
128	0.4836374714
129	0.4825793635
130	0.4818023867
131	0.4809001362
132	0.4799415341
133	0.479330379
134	0.4782085951
135	0.4774677041
136	0.4766959523
137	0.4760023387
138	0.4752956465
139	0.4745647986
140	0.4733826717
141	0.4724784392
142	0.4720271333
143	0.4714392129
144	0.4706387925
145	0.4698767205
146	0.4685154355
147	0.467654119
148	0.467208578
149	0.4662767778
150	0.4652851708
151	0.4638720576
152	0.4630786184
153	0.4624982539
154	0.4616290171
155	0.461125044
156	0.4603329838
157	0.4596011484
158	0.4588601932
159	0.45819083
160	0.457899165
161	0.4568928861
162	0.4561518428
163	0.4555370358
164	0.4543912969
165	0.4535824665
166	0.45288627
167	0.4523017732
168	0.451850683
169	0.4509422091
170	0.4501085464
171	0.4491960534
172	0.448509062
173	0.4477381782
174	0.4472052098
175	0.446857162
176	0.4461637602
177	0.4455559239
178	0.4448241541
179	0.4439113113
180	0.4431793209
181	0.442285431
182	0.4411874959
183	0.4402910515
184	0.4395628245
185	0.4386390235
186	0.4376386417
187	0.4370467539
188	0.4363328907
189	0.435900699
190	0.4354465851
191	0.4347212321
192	0.4343303825
193	0.4334450142
194	0.4330970302
195	0.4326582229
196	0.4319928142
197	0.4310984745
198	0.4303471374
199	0.4298233796
200	0.4290541173
201	0.4285344856
202	0.4278289618
203	0.4271393324
204	0.4265196175
205	0.4257250939
206	0.4249285126
207	0.4244286883
208	0.4237041581
209	0.4231333756
210	0.4224877908
211	0.4219746151
212	0.4216616533
213	0.4207597922
214	0.4201549393
215	0.4192524274
216	0.4190203251
217	0.4183140318
218	0.4174378639
219	0.4166074312
220	0.4153692223
221	0.4148048189
222	0.4141214972
223	0.4132689092
224	0.412632218
225	0.4119967721
226	0.4110021633
227	0.4104806454
228	0.4092908108
229	0.4087748092
230	0.4082322889
231	0.4074546691
232	0.4065374754
233	0.4061407506
234	0.4058282311
235	0.4055168819
236	0.4049428988
237	0.4044265424
238	0.4036577623
239	0.4029679649
240	0.4023038225
241	0.4018043752
242	0.4010688746
243	0.4004402044
244	0.3997913477
245	0.3990773167
246	0.3986999303
247	0.3981396035
248	0.3975820738
249	0.3970191616
250	0.3965872385
251	0.3959981941
252	0.3953043888
253	0.3950019734
254	0.3942685789
255	0.3938629704
256	0.3932239812
257	0.3927229285
258	0.3925579139
259	0.3917762204
260	0.3914835028
261	0.3910897743
262	0.390401821
263	0.3900366321
264	0.3896751435
265	0.3890089361
266	0.3883145659
267	0.3877898503
268	0.3875357865
269	0.3871527814
270	0.3868113966
271	0.3864084874
272	0.3861442138
273	0.3854985535
274	0.3849396041
275	0.3845607959
276	0.3841275271
277	0.3838834263
278	0.3835012638
279	0.3830860528
280	0.3826254166
281	0.3817942621
282	0.3816884304
283	0.3814047958
284	0.3811929388
285	0.3807293728
286	0.3801792202
287	0.3798248972
288	0.3791303911
289	0.37874383
290	0.3784356195
291	0.378154608
292	0.377777845
293	0.377686885
294	0.3772529305
295	0.3767686996
296	0.3763098562
297	0.3754973625
298	0.3752309476
299	0.37465045
