iter	Logloss
0	0.6518244089
1	0.6186825111
2	0.5882226251
3	0.568363323
4	0.549699822
5	0.5370324693
6	0.5253641099
7	0.5158741914
8	0.5066347496
9	0.4992610041
10	0.4927351214
11	0.4873311289
12	0.4824516589
13	0.4783968958
14	0.4742453818
15	0.4695337339
16	0.4651125669
17	0.4621389049
18	0.4597757028
19	0.457297766
20	0.4550010686
21	0.4529472628
22	0.4505327994
23	0.448432971
24	0.4469069476
25	0.4447881506
26	0.4430108539
27	0.4410902885
28	0.439928303
29	0.4385492411
30	0.4373508569
31	0.4358965583
32	0.4342303591
33	0.4325994016
34	0.4311840517
35	0.4295239074
36	0.4284558417
37	0.4278054329
38	0.4268257923
39	0.4255020179
40	0.4237884961
41	0.4228969888
42	0.4218239672
43	0.4211779954
44	0.4204007122
45	0.4193222253
46	0.4179079678
47	0.4165273388
48	0.4155652406
49	0.4146798033
50	0.4137915497
51	0.4131318868
52	0.4123590079
53	0.4109029076
54	0.4100229061
55	0.4093264364
56	0.4084576069
57	0.4075155008
58	0.4065183205
59	0.4054163107
60	0.4049097319
61	0.4038570765
62	0.4024569018
63	0.4013138498
64	0.4003893209
65	0.3999382134
66	0.3991878525
67	0.3985626009
68	0.3980413269
69	0.3970882882
70	0.3963652381
71	0.39590762
72	0.3950643265
73	0.3939626165
74	0.3934135718
75	0.3927875014
76	0.3923224651
77	0.3918610778
78	0.3914958344
79	0.3908191777
80	0.3902291381
81	0.3896924462
82	0.3891318016
83	0.388766309
84	0.3876599604
85	0.3871717789
86	0.3865852428
87	0.3860459197
88	0.3854059338
89	0.3846172814
90	0.3840839817
91	0.3835060805
92	0.3829723957
93	0.3821228122
94	0.3815699476
95	0.3807600264
96	0.3801065728
97	0.379636157
98	0.379143201
99	0.3785206248
100	0.3778766061
101	0.3770490676
102	0.3766151337
103	0.3762055897
104	0.3756681988
105	0.3748949613
106	0.374403637
107	0.3739243666
108	0.3731171162
109	0.372452917
110	0.3717484609
111	0.3712754996
112	0.3706281987
113	0.3699150595
114	0.3694606128
