iter	Passed	Remaining
404	6493	1523
405	6507	1506
406	6519	1489
407	6545	1476
408	6558	1459
409	6572	1442
410	6585	1426
411	6599	1409
412	6615	1393
413	6639	1379
414	6652	1362
415	6667	1346
416	6681	1329
417	6693	1313
418	6708	1296
419	6722	1280
420	6746	1265
421	6761	1249
422	6785	1235
423	6800	1219
424	6814	1202
425	6832	1186
426	6848	1170
427	6864	1154
428	6878	1138
429	6890	1121
430	6906	1105
431	6919	1089
432	6931	1072
433	6948	1056
434	6960	1040
435	6974	1023
436	6988	1007
437	7000	990
438	7014	974
439	7028	958
440	7042	942
441	7055	925
442	7070	909
443	7082	893
444	7096	877
445	7110	860
446	7125	844
447	7142	829
448	7158	813
449	7170	796
450	7188	781
451	7204	765
452	7220	749
453	7231	732
454	7246	716
455	7265	701
456	7278	684
457	7293	668
458	7308	652
459	7326	637
460	7341	621
461	7354	604
462	7367	588
463	7382	572
464	7394	556
465	7410	540
466	7423	524
467	7438	508
468	7451	492
469	7465	476
470	7476	460
471	7494	444
472	7508	428
473	7527	412
474	7541	396
475	7553	380
476	7570	365
477	7582	348
478	7599	333
479	7610	317
480	7624	301
481	7637	285
482	7653	269
483	7666	253
484	7679	237
485	7692	221
486	7706	205
487	7719	189
488	7735	173
489	7747	158
490	7762	142
491	7774	126
492	7790	110
493	7803	94
494	7820	78
495	7832	63
496	7846	47
497	7861	31
498	7874	15
499	7886	0
